date,steps
2025-10-01,3219
2025-10-02,1398
2025-10-03,2152
2025-10-04,689
2025-10-05,4959
2025-10-06,5774
2025-10-07,3293
2025-10-08,1304
2025-10-09,2772
2025-10-10,1353
2025-10-11,1833
2025-10-12,1762
2025-10-13,2029
2025-10-14,4593
2025-10-15,987
2025-10-16,308
2025-10-17,3307
2025-10-18,2110
2025-10-19,1544
2025-10-20,1019
2025-10-21,2286
2025-10-22,942
2025-10-23,531
2025-10-24,4326
2025-10-25,946
2025-10-26,1749
2025-10-27,2578
2025-10-28,2554
2025-10-29,602
2025-10-30,1533
2025-10-31,890
2025-11-01,3736
2025-11-02,646
2025-11-03,1387
2025-11-04,2284
2025-11-05,1666
2025-11-06,1559
2025-11-07,1724
2025-11-08,663
2025-11-09,2554
2025-11-10,735
2025-11-11,2373
2025-11-12,491
2025-11-13,1587
2025-11-14,956
2025-11-15,977
2025-11-16,1270
2025-11-17,2060
2025-11-18,361
2025-11-19,604
2025-11-20,1496
2025-11-21,377
2025-11-22,5267
2025-11-23,615
2025-11-24,2083
2025-11-25,206
2025-11-26,354
2025-11-27,336
2025-11-28,522
2025-11-29,2350
2025-11-30,1415
2025-12-01,710
2025-12-02,839
2025-12-03,1880
2025-12-04,522
2025-12-05,1393
2025-12-06,985
2025-12-07,783
2025-12-08,305
2025-12-09,1820
2025-12-10,526
2025-12-11,677
2025-12-12,755
2025-12-13,789
2025-12-14,2604
2025-12-15,282
2025-12-16,755
2025-12-17,1493
2025-12-18,642
2025-12-19,591
2025-12-20,3976
2025-12-21,532
2025-12-22,167
2025-12-23,641
2025-12-24,365
2025-12-25,806
2025-12-26,252
2025-12-27,593
2025-12-28,1475
2025-12-29,710
2025-12-30,474
2025-12-31,364
